Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Month,Hour_of_Day,Course_Level,Class_Standing_BGSU,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT
Fall 2017,1,FEMALE,22,3.5,122,-0.28,Mon,Aug,11,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,13,3.23,104,-0.138,Mon,Aug,19,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,13,3,83,1.937,Tue,Aug,12,Introductory,Junior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,17,3.538,126,0.114,Tue,Aug,14,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,15,3.111,110,0.606,Tue,Aug,14,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,13,3.23,104,-0.138,Tue,Aug,16,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,13,1.5,78,-0.201,Tue,Aug,18,Advanced,Junior,2018,0,TRUE,TRUE,FALSE
Fall 2017,1,MALE,14,2.818,144,-0.59,Tue,Aug,18,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,5,0,193,-2.054,Wed,Aug,9,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,1,MALE,25,4,126,0.033,Wed,Aug,10,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,14,1.785,107,-0.922,Wed,Aug,10,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,22,3.5,122,-0.28,Wed,Aug,10,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,21,3.833,137,0.046,Wed,Aug,11,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,18,4,126,0.097,Wed,Aug,12,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,12,3.25,134,-0.221,Wed,Aug,12,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,16,3.5,86,0.756,Wed,Aug,12,Introductory,Junior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,15,2.933,146,-0.082,Wed,Aug,13,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,12,3.5,122,0.248,Wed,Aug,13,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,3,4,138,0.114,Wed,Aug,13,Introductory,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,12,2,108,-0.888,Wed,Aug,13,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,16,3,121,0.22,Wed,Aug,13,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,4,124,0,Wed,Aug,13,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,14,3.071,128,-0.162,Wed,Aug,14,Introductory,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,13,1.5,78,-0.201,Wed,Aug,14,Advanced,Junior,2018,0,TRUE,TRUE,FALSE
Fall 2017,1,MALE,14,2.818,144,-0.59,Wed,Aug,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,16,3.625,137,0.068,Wed,Aug,14,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,1,FEMALE,12,3.5,122,0.248,Wed,Aug,15,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,15,2.933,146,-0.082,Wed,Aug,15,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,14,2.818,144,-0.59,Wed,Aug,17,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,13,3.23,104,-0.138,Wed,Aug,19,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,14,3,97,0.18,Thu,Aug,9,Intermediate,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,15,3.111,110,0.606,Thu,Aug,10,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,12,2.5,145,-0.884,Thu,Aug,10,Intermediate,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,9,3.333,125,-0.011,Thu,Aug,10,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,17,3.571,114,-0.165,Thu,Aug,10,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,FEMALE,14,2.857,238,-0.298,Thu,Aug,11,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,14,2.818,144,-0.59,Thu,Aug,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,15,1.5,28,-0.555,Thu,Aug,11,Advanced,Freshman,2018,1,TRUE,TRUE,FALSE
Fall 2017,1,MALE,15,3.111,110,0.606,Thu,Aug,12,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,21,3.833,137,0.046,Thu,Aug,12,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,5,3.4,52,0.9,Thu,Aug,13,Advanced,Sophomore,2018,1,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,3.642,122,0.082,Thu,Aug,13,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,4,169,0.267,Thu,Aug,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,1,FEMALE,15,2.7,135,-0.586,Thu,Aug,14,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,12,2.75,162,-0.267,Thu,Aug,15,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,12,2.5,145,-0.884,Thu,Aug,15,Intermediate,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,18,3.2,156,0.238,Thu,Aug,15,Intermediate,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,25,4,126,0.033,Thu,Aug,16,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,4,112,0.569,Thu,Aug,16,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,FEMALE,13,4,115,0.389,Thu,Aug,16,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,FEMALE,16,4,107,0.038,Thu,Aug,16,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,20,3.764,118,-0.168,Thu,Aug,16,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,13,3.23,104,-0.138,Thu,Aug,17,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,4,134,0.252,Thu,Aug,18,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,12,2.75,155,0.57,Thu,Aug,19,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,3.764,133,-0.086,Thu,Aug,19,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,16,4,107,0.263,Thu,Aug,20,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,18,2.933,112,-0.086,Thu,Aug,21,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,5,0,193,-2.054,Fri,Aug,9,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,1,MALE,12,2.75,155,0.57,Fri,Aug,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,3.642,122,0.082,Fri,Aug,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,9,3.333,125,-0.011,Fri,Aug,10,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,12,2,141,-0.629,Fri,Aug,11,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,17,1.8,151,-0.898,Fri,Aug,12,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,1,MALE,3,4,138,0.114,Fri,Aug,13,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,16,3,121,0.22,Fri,Aug,13,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,14,1.785,141,-0.96,Fri,Aug,13,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,18,3,131,0.2,Fri,Aug,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,5,3.4,52,0.9,Fri,Aug,15,Advanced,Sophomore,2018,1,FALSE,TRUE,FALSE
Fall 2017,1,MALE,15,2.933,146,-0.082,Sun,Aug,17,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
