Semester,Semester_Week,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Month,Hour_of_Day,Course_Level,Class_Standing_BGSU,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT
Fall 2016,1,106,MALE,12,2.25,136,-0.47,Tue,Aug,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,1,45,MALE,16,2.312,131,-0.25,Tue,Aug,11,Intermediate,Extended,2020,0,FALSE,FALSE,TRUE
Fall 2016,1,96,MALE,17,3,148,0.188,Tue,Aug,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,1,68,FEMALE,21,3.562,150,-0.071,Tue,Aug,14,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,1,89,MALE,15,3,119,-0.105,Thu,Aug,10,Advanced,Senior,2020,0,FALSE,TRUE,FALSE
Fall 2016,1,208,FEMALE,16,3.062,128,-0.139,Thu,Aug,17,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,1,124,MALE,17,3.357,130,-0.349,Thu,Aug,17,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,1,123,MALE,15,2.666,105,0.474,Thu,Aug,17,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2016,1,136,FEMALE,12,3.166,125,0.219,Thu,Aug,18,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,1,54,FEMALE,19,4,122,0.172,Thu,Aug,18,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,1,146,MALE,16,4,134,0.5,Thu,Aug,19,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,1,97,MALE,16,2.461,122,-0.396,Thu,Aug,19,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,1,56,MALE,13,2.307,126,-0.624,Thu,Aug,19,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,1,41,MALE,16,3.076,63,0.112,Thu,Aug,20,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,1,60,MALE,17,3.357,130,-0.349,Thu,Aug,20,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,1,61,MALE,18,1.933,124,-0.279,Thu,Aug,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,1,55,MALE,15,2.666,105,0.474,Thu,Aug,20,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2016,1,49,MALE,19,2.111,111,-0.529,Thu,Aug,20,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2016,1,49,FEMALE,18,2.285,139,0.266,Thu,Aug,20,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,1,47,MALE,11,3,178,-0.121,Sun,Aug,18,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,54,MALE,13,3.769,128,0.181,Mon,Aug,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,46,FEMALE,16,4,123,0.351,Mon,Aug,14,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,2,131,FEMALE,19,4,128,0.488,Mon,Aug,14,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,131,MALE,19,4,134,0.394,Mon,Aug,14,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,288,MALE,12,3,69,0.32,Mon,Aug,14,Introductory,Junior,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,28,FEMALE,14,1.727,134,-1.609,Mon,Aug,14,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,28,FEMALE,13,2.692,73,-0.208,Mon,Aug,14,Introductory,Junior,2021,0,FALSE,FALSE,FALSE
Fall 2016,2,28,FEMALE,16,3.812,123,0.212,Mon,Aug,14,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
