Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,106,MALE,12,2.25,136,-0.47,1,Tue,Introductory,2020,0,1,1,0,0,0,0
Fall,45,MALE,16,2.312,131,-0.25,2,Tue,Intermediate,2020,0,1,0,1,0,0,0
Fall,96,MALE,17,3,148,0.188,1,Tue,Introductory,2018,0,0,1,0,0,1,0
Fall,68,FEMALE,21,3.562,150,-0.071,2,Tue,Introductory,2021,0,1,1,0,0,1,0
Fall,89,MALE,15,3,119,-0.105,1,Thu,Graduate,2020,0,1,1,0,0,0,0
Fall,208,FEMALE,16,3.062,128,-0.139,1,Thu,Introductory,2020,0,1,1,0,0,0,1
Fall,124,MALE,17,3.357,130,-0.349,2,Thu,Introductory,2019,0,1,1,0,0,0,1
Fall,123,MALE,15,2.666,105,0.474,3,Thu,Introductory,2021,0,1,1,0,0,0,1
Fall,136,FEMALE,12,3.166,125,0.219,4,Thu,Introductory,2018,0,0,1,0,0,0,1
Fall,54,FEMALE,19,4,122,0.172,5,Thu,Introductory,2018,0,0,1,0,0,0,1
Fall,146,MALE,16,4,134,0.5,5,Thu,Graduate,2020,0,1,1,0,0,0,1
Fall,97,MALE,16,2.461,122,-0.396,6,Thu,Introductory,2020,0,1,1,0,0,0,1
Fall,56,MALE,13,2.307,126,-0.624,7,Thu,Introductory,2019,0,1,1,0,0,0,1
Fall,41,MALE,16,3.076,63,0.112,5,Thu,Introductory,2017,0,0,1,0,0,0,1
Fall,60,MALE,17,3.357,130,-0.349,6,Thu,Introductory,2019,0,1,1,0,0,0,1
Fall,61,MALE,18,1.933,124,-0.279,7,Thu,Introductory,2020,0,1,1,0,0,0,1
Fall,55,MALE,15,2.666,105,0.474,8,Thu,Introductory,2021,0,1,1,0,0,0,1
Fall,49,MALE,19,2.111,111,-0.529,8,Thu,Introductory,2021,0,1,1,0,0,0,1
Fall,49,FEMALE,18,2.285,139,0.266,9,Thu,Introductory,2019,0,1,1,0,0,0,1
Fall,47,MALE,11,3,178,-0.121,1,Sun,Introductory,2021,0,1,1,0,0,0,1
Fall,54,MALE,13,3.769,128,0.181,1,Mon,Introductory,2020,0,1,1,0,0,1,0
Fall,46,FEMALE,16,4,123,0.351,2,Mon,Introductory,2019,0,1,0,0,0,1,0
Fall,131,FEMALE,19,4,128,0.488,3,Mon,Introductory,2020,0,1,0,0,0,1,0
Fall,131,MALE,19,4,134,0.394,4,Mon,Introductory,2020,0,1,0,0,0,1,0
Fall,288,MALE,12,3,69,0.32,5,Mon,Introductory,2019,0,1,1,0,0,1,0
Fall,28,FEMALE,14,1.727,134,-1.609,5,Mon,Introductory,2020,0,1,0,0,0,1,0
Fall,28,FEMALE,13,2.692,73,-0.208,6,Mon,Introductory,2021,0,1,0,0,0,1,0
Fall,28,FEMALE,16,3.812,123,0.212,7,Mon,Introductory,2019,0,1,0,0,0,1,0
Fall,154,FEMALE,15,4,135,0.286,8,Mon,Introductory,2019,0,1,0,0,0,1,0
Fall,88,FEMALE,18,3.8,132,0.523,9,Mon,Introductory,2019,0,1,0,0,0,1,0
Fall,105,FEMALE,13,3.23,129,-0.185,10,Mon,Introductory,2020,0,1,0,0,0,1,0
Fall,62,FEMALE,17,2.181,122,-0.844,11,Mon,Introductory,2020,0,1,0,0,0,1,0
Fall,107,FEMALE,16,3.375,135,-0.094,11,Mon,Introductory,2020,0,1,0,0,0,1,0
Fall,104,FEMALE,16,4,126,0.138,9,Mon,Introductory,2020,0,1,0,0,0,1,0
Fall,120,MALE,15,2.25,137,-0.472,10,Mon,Advanced,2018,0,0,0,0,0,1,0
Fall,66,FEMALE,6,0,12,-3,6,Mon,Intermediate,2020,0,1,0,0,0,1,0
Fall,629,MALE,12,3.333,203,-0.403,1,Tue,Introductory,2017,0,0,0,0,0,0,0
Fall,120,FEMALE,15,3.8,148.27,0.04,2,Tue,Advanced,2018,0,0,0,0,0,0,0
Fall,95,FEMALE,15,3.133,146,-0.314,3,Tue,Introductory,2018,0,0,0,0,0,1,0
Fall,109,FEMALE,16,3.625,72,0.07,4,Tue,Introductory,2018,1,0,0,0,0,1,0
Fall,67,FEMALE,13,2.692,49,-0.244,5,Tue,Introductory,2018,1,1,0,0,0,1,0
Fall,90,MALE,10,2.5,123,-0.405,4,Tue,Intermediate,2018,0,0,0,0,0,1,0
Fall,78,MALE,19,3.062,122,0.195,5,Tue,Intermediate,2018,0,0,0,0,0,1,0
Fall,90,MALE,15,2.5,122,-0.538,6,Tue,Intermediate,2018,0,0,0,0,0,1,0
Fall,22,FEMALE,17,3.571,147,-0.061,7,Tue,Introductory,2021,0,1,1,0,0,1,0
Fall,95,MALE,16,3.812,9,-0.188,7,Tue,Intermediate,2021,0,1,0,0,0,1,0
Fall,93,FEMALE,15,3.8,123,-0.066,8,Tue,Introductory,2018,0,0,1,0,0,1,0
Fall,94,FEMALE,14,2.875,62,-0.525,9,Tue,Introductory,2017,1,0,1,0,0,1,0
Fall,22,FEMALE,16,2.187,123,-0.576,10,Tue,Intermediate,2019,0,1,0,0,0,1,0
Fall,15,MALE,15,3,167,-0.085,9,Tue,Introductory,2020,0,1,1,0,0,1,0
Fall,10,FEMALE,6,0,12,-3,7,Tue,Advanced,2020,0,1,0,0,0,1,0
Fall,73,FEMALE,13,3.23,35,0.162,6,Tue,Introductory,2017,1,0,1,0,0,1,0
Fall,33,FEMALE,15,1.818,148,-1.053,6,Tue,Intermediate,2018,0,0,0,0,0,1,0
Fall,37,MALE,15,2.25,137,-0.472,7,Tue,Advanced,2018,0,0,0,0,0,1,0
Fall,38,MALE,14,3.142,122,-0.049,8,Tue,Introductory,2018,0,0,1,0,0,1,0
Fall,39,MALE,23,3.187,127,0.253,9,Tue,Introductory,2018,0,0,1,0,0,1,0
Fall,97,MALE,16,3.307,125,0.094,7,Tue,Introductory,2018,0,0,1,0,0,1,0
Fall,129,MALE,16,3.076,123,-0.041,7,Tue,Introductory,2020,0,1,1,0,0,1,0
Fall,61,MALE,18,4,169,0.024,8,Tue,Advanced,2017,0,0,0,0,0,1,0
Fall,129,FEMALE,12,1,79,-1.535,6,Tue,Intermediate,2018,0,1,0,0,0,1,0
Fall,38,FEMALE,13,1.714,65,-0.619,7,Tue,Intermediate,2018,1,0,0,0,0,1,0
Fall,55,FEMALE,14,1.727,134,-1.609,6,Tue,Introductory,2020,0,1,0,0,0,0,1
Fall,21,MALE,14,3.5,30,-0.23,6,Tue,Introductory,2017,1,0,1,0,0,0,1
Fall,119,MALE,12,3.75,148,0.365,7,Tue,Introductory,2018,0,1,0,0,0,0,1
Fall,95,FEMALE,17,3.294,134,0.08,8,Tue,Introductory,2018,0,0,1,0,0,0,1
Fall,11,FEMALE,22,3.578,143,0.167,9,Tue,Introductory,2020,0,1,0,0,0,0,1
Fall,24,FEMALE,16,4,123,0.351,10,Tue,Introductory,2019,0,1,0,0,0,0,1
Fall,61,FEMALE,15,3.5,126,-0.5,11,Tue,Introductory,2021,0,1,0,0,0,0,1
Fall,61,FEMALE,16,3.09,157,-0.144,12,Tue,Introductory,2021,0,1,0,0,0,0,1
Fall,60,FEMALE,20,3.526,36,-0.11,13,Tue,Introductory,2017,1,0,0,0,0,0,1
Fall,65,MALE,16,2.687,138,-0.335,11,Tue,Introductory,2018,0,0,1,0,0,0,1
Fall,137,FEMALE,14,2.571,95,0.622,12,Tue,Introductory,2020,0,1,1,0,0,0,1
Fall,130,FEMALE,13,2.1,126,-0.722,13,Tue,Introductory,2019,0,1,1,0,0,0,1
Fall,93,FEMALE,20,3.647,82,-0.033,13,Tue,Introductory,2017,0,0,1,0,0,0,1
