Student_IDs,Semester,Degree_Type,Class_Standing,Major,Expected_Graduation,Course_Name,Course_Number,Course_Type,Course_Code_by_Thousands,Semester_Week,Check_In_Date,Check_In_Time,Check_Out_Time,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Occupancy,Day_of_Week,Is_Weekend,Week_of_Month,Month,Hour_of_Day,Time_Period,Course_Level,GPA_Category,Credit_Load_Category,Class_Standing_Self_Reported,Class_Standing_BGSU
BGSU02770,Fall 2016,Undergraduate,Senior,"BLS-BLS:Liberal Studies,BLSOL:BLS On Line Degree Prog",Spring Semester 2020,Precalculus Mathematics,MATH-1280,MATH,1000,1,2016-08-23,10:51:00,12:37:00,106,MALE,12,2.25,136,2.72,-0.47,1,Tue,FALSE,4,Aug,10,Morning,Introductory,Satisfactory,Half Time,Fourth Year,Extended
BGSU02020,Fall 2016,Undergraduate,Senior,"MIS-BSBA:Information Systems,SUPC-BSBA:Supply Chain Management",Spring Semester 2020,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,1,2016-08-23,11:38:00,12:24:00,45,MALE,16,2.312,131,2.562,-0.25,2,Tue,FALSE,4,Aug,11,Morning,Intermediate,Satisfactory,Full Time,Fourth Year,Extended
BGSU00467,Fall 2016,Undergraduate,Senior,No Response,Summer Semester 2018,College Algebra,MATH-1220,MATH,1000,1,2016-08-23,13:56:00,15:32:00,96,MALE,17,3,148,2.812,0.188,1,Tue,FALSE,4,Aug,13,Afternoon,Introductory,Satisfactory,Full Time,Fourth Year,Extended
BGSU02909,Fall 2016,Undergraduate,Senior,MCED-BSED:Middle Childhood Education,Spring Semester 2021,Precalculus Mathematics,MATH-1280,MATH,1000,1,2016-08-23,14:47:00,15:56:00,68,FEMALE,21,3.562,150,3.633,-0.071,2,Tue,FALSE,4,Aug,14,Afternoon,Introductory,Excellent,Overload,Fourth Year,Extended
BGSU03838,Fall 2016,Undergraduate,Senior,"COMPSC-BA:Computer Science,ENTREP-MIN:Entrepreneurship",Fall Semester 2020,Elementary Algebra,MATH-90X,MATH,99,1,2016-08-25,10:55:00,12:25:00,89,MALE,15,3,119,3.105,-0.105,1,Thu,FALSE,4,Aug,10,Morning,Graduate,Good,Full Time,Fourth Year,Senior
BGSU02810,Fall 2016,Undergraduate,Senior,"INBUS-BSBA:International Business,MGMT-BSBA:Management",Spring Semester 2020,Basic Calculus,MATH-1260,MATH,1000,1,2016-08-25,17:37:00,21:06:00,208,FEMALE,16,3.062,128,3.201,-0.139,1,Thu,FALSE,4,Aug,17,Evening,Introductory,Good,Full Time,Fourth Year,Extended
BGSU02815,Fall 2016,Undergraduate,Senior,AVST-BSTC:Aviation Studies,Fall Semester 2019,College Algebra,MATH-1220,MATH,1000,1,2016-08-25,17:53:00,19:58:00,124,MALE,17,3.357,130,3.706,-0.349,2,Thu,FALSE,4,Aug,17,Evening,Introductory,Excellent,Full Time,Fourth Year,Extended
BGSU03976,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Spring Semester 2021,College Algebra,MATH-1220,MATH,1000,1,2016-08-25,17:54:00,19:58:00,123,MALE,15,2.666,105,2.192,0.474,3,Thu,FALSE,4,Aug,17,Evening,Introductory,Satisfactory,Full Time,Fourth Year,Senior
BGSU02245,Fall 2016,Undergraduate,Junior,No Response,Spring Semester 2018,Calculus and Analytic Geometry,MATH-1310,MATH,1000,1,2016-08-25,18:05:00,20:21:00,136,FEMALE,12,3.166,125,2.947,0.219,4,Thu,FALSE,4,Aug,18,Evening,Introductory,Satisfactory,Half Time,Third Year,Extended
BGSU02749,Fall 2016,Undergraduate,Junior,No Response,Spring Semester 2018,Introduction to Statistics,MATH-1150,MATH,1000,1,2016-08-25,18:22:00,19:17:00,54,FEMALE,19,4,122,3.828,0.172,5,Thu,FALSE,4,Aug,18,Evening,Introductory,Excellent,Overload,Third Year,Extended
