Semester,Semester_Week,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Total_Visits
Fall 2016,1,106,MALE,12,2.25,136,2.72,-0.47,Tue,10,Introductory,2020,0,1,44
Fall 2016,1,46,MALE,16,2.312,131,2.562,-0.25,Tue,11,Intermediate,2020,0,1,12
Fall 2016,1,96,MALE,17,3,148,2.812,0.188,Tue,13,Introductory,2018,0,1,47
Fall 2016,1,69,FEMALE,21,3.562,150,3.633,-0.071,Tue,14,Introductory,2021,0,1,6
Fall 2016,1,90,MALE,15,3,119,3.105,-0.105,Thu,10,Advanced,2020,0,1,22
Fall 2016,1,209,FEMALE,16,3.062,128,3.201,-0.139,Thu,17,Introductory,2020,0,1,27
Fall 2016,1,125,MALE,17,3.357,130,3.706,-0.349,Thu,17,Introductory,2019,0,1,2
Fall 2016,1,124,MALE,15,2.666,105,2.192,0.474,Thu,17,Introductory,2021,0,1,2
Fall 2016,1,136,FEMALE,12,3.166,125,2.947,0.219,Thu,18,Introductory,2018,0,1,18
Fall 2016,1,55,FEMALE,19,4,122,3.828,0.172,Thu,18,Introductory,2018,0,1,8
Fall 2016,1,146,MALE,16,4,134,3.5,0.5,Thu,19,Advanced,2020,0,1,20
Fall 2016,1,98,MALE,16,2.461,122,2.857,-0.396,Thu,19,Introductory,2020,0,1,1
Fall 2016,1,57,MALE,13,2.307,126,2.931,-0.624,Thu,19,Introductory,2019,0,1,2
Fall 2016,1,42,MALE,16,3.076,63,2.964,0.112,Thu,20,Introductory,2017,0,1,25
Fall 2016,1,61,MALE,17,3.357,130,3.706,-0.349,Thu,20,Introductory,2019,0,1,2
Fall 2016,1,61,MALE,18,1.933,124,2.212,-0.279,Thu,20,Introductory,2020,0,1,1
Fall 2016,1,56,MALE,15,2.666,105,2.192,0.474,Thu,20,Introductory,2021,0,1,2
Fall 2016,1,50,MALE,19,2.111,111,2.64,-0.529,Thu,20,Introductory,2021,0,1,8
Fall 2016,1,49,FEMALE,18,2.285,139,2.019,0.266,Thu,20,Introductory,2019,0,1,15
Fall 2016,1,47,MALE,11,3,178,3.121,-0.121,Sun,18,Introductory,2021,0,1,8
Fall 2016,2,55,MALE,13,3.769,128,3.588,0.181,Mon,14,Introductory,2020,0,1,64
Fall 2016,2,47,FEMALE,16,4,123,3.649,0.351,Mon,14,Introductory,2019,0,1,4
Fall 2016,2,132,FEMALE,19,4,128,3.512,0.488,Mon,14,Introductory,2020,0,1,4
Fall 2016,2,131,MALE,19,4,134,3.606,0.394,Mon,14,Introductory,2020,0,1,2
Fall 2016,2,288,MALE,12,3,69,2.68,0.32,Mon,14,Introductory,2019,0,1,8
Fall 2016,2,29,FEMALE,14,1.727,134,3.336,-1.609,Mon,14,Introductory,2020,0,1,8
Fall 2016,2,28,FEMALE,13,2.692,73,2.9,-0.208,Mon,14,Introductory,2021,0,2,1
Fall 2016,2,28,FEMALE,16,3.812,123,3.6,0.212,Mon,14,Introductory,2019,0,2,2
Fall 2016,2,155,FEMALE,15,4,135,3.714,0.286,Mon,15,Introductory,2019,0,2,1
Fall 2016,2,89,FEMALE,18,3.8,132,3.277,0.523,Mon,15,Introductory,2019,0,2,1
Fall 2016,2,105,FEMALE,13,3.23,129,3.415,-0.185,Mon,15,Introductory,2020,0,1,5
Fall 2016,2,62,FEMALE,17,2.181,122,3.025,-0.844,Mon,15,Introductory,2020,0,1,2
Fall 2016,2,107,FEMALE,16,3.375,135,3.469,-0.094,Mon,15,Introductory,2020,0,1,2
Fall 2016,2,105,FEMALE,16,4,126,3.862,0.138,Mon,15,Introductory,2020,0,1,1
Fall 2016,2,121,MALE,15,2.25,137,2.722,-0.472,Mon,16,Advanced,2018,0,1,29
Fall 2016,2,67,FEMALE,6,0,12,3,-3,Mon,16,Intermediate,2020,0,1,21
Fall 2016,2,629,MALE,12,3.333,203,3.736,-0.403,Tue,8,Introductory,2017,0,1,31
Fall 2016,2,120,FEMALE,15,3.8,148.27,3.76,0.04,Tue,11,Advanced,2018,0,1,8
Fall 2016,2,95,FEMALE,15,3.133,146,3.447,-0.314,Tue,12,Introductory,2018,0,1,2
Fall 2016,2,109,FEMALE,16,3.625,72,3.555,0.07,Tue,13,Introductory,2018,1,1,7
Fall 2016,2,67,FEMALE,13,2.692,49,2.936,-0.244,Tue,13,Introductory,2018,1,1,1
Fall 2016,2,91,MALE,10,2.5,123,2.905,-0.405,Tue,14,Intermediate,2018,0,1,7
