Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Occupancy,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Group_Check_In,Total_Visits
Fall 2016,1,MALE,12,2.25,136,2.72,-0.47,1,Tue,10,Introductory,2020,0,1,0,44
Fall 2016,1,MALE,16,2.312,131,2.562,-0.25,2,Tue,11,Intermediate,2020,0,1,0,12
Fall 2016,1,MALE,17,3,148,2.812,0.188,1,Tue,13,Introductory,2018,0,1,0,47
Fall 2016,1,FEMALE,21,3.562,150,3.633,-0.071,2,Tue,14,Introductory,2021,0,1,0,6
Fall 2016,1,MALE,15,3,119,3.105,-0.105,1,Thu,10,Advanced,2020,0,1,0,22
Fall 2016,1,FEMALE,16,3.062,128,3.201,-0.139,1,Thu,17,Introductory,2020,0,1,0,27
Fall 2016,1,MALE,17,3.357,130,3.706,-0.349,2,Thu,17,Introductory,2019,0,1,0,2
Fall 2016,1,MALE,15,2.666,105,2.192,0.474,3,Thu,17,Introductory,2021,0,1,0,2
Fall 2016,1,FEMALE,12,3.166,125,2.947,0.219,4,Thu,18,Introductory,2018,0,1,0,18
Fall 2016,1,FEMALE,19,4,122,3.828,0.172,5,Thu,18,Introductory,2018,0,1,0,8
Fall 2016,1,MALE,16,4,134,3.5,0.5,5,Thu,19,Advanced,2020,0,1,0,20
Fall 2016,1,MALE,16,2.461,122,2.857,-0.396,6,Thu,19,Introductory,2020,0,1,0,1
Fall 2016,1,MALE,13,2.307,126,2.931,-0.624,7,Thu,19,Introductory,2019,0,1,0,2
Fall 2016,1,MALE,16,3.076,63,2.964,0.112,5,Thu,20,Introductory,2017,0,1,0,25
Fall 2016,1,MALE,17,3.357,130,3.706,-0.349,6,Thu,20,Introductory,2019,0,1,0,2
Fall 2016,1,MALE,18,1.933,124,2.212,-0.279,7,Thu,20,Introductory,2020,0,1,0,1
Fall 2016,1,MALE,15,2.666,105,2.192,0.474,8,Thu,20,Introductory,2021,0,1,0,2
Fall 2016,1,MALE,19,2.111,111,2.64,-0.529,8,Thu,20,Introductory,2021,0,1,0,8
Fall 2016,1,FEMALE,18,2.285,139,2.019,0.266,9,Thu,20,Introductory,2019,0,1,0,15
Fall 2016,1,MALE,11,3,178,3.121,-0.121,1,Sun,18,Introductory,2021,0,1,0,8
Fall 2016,2,MALE,13,3.769,128,3.588,0.181,1,Mon,14,Introductory,2020,0,1,0,64
