Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,FEMALE,22,3.5,122,-0.28,Mon,Introductory,2021,0,11,1,1,0,0,0,0
Fall,MALE,13,3.23,104,-0.138,Mon,Introductory,2021,0,11,1,1,0,0,0,1
Fall,MALE,13,3,83,1.937,Tue,Introductory,2021,0,2,1,1,0,0,1,0
Fall,MALE,17,3.538,126,0.114,Tue,Graduate,2020,0,7,1,1,0,0,1,0
Fall,MALE,15,3.111,110,0.606,Tue,Introductory,2021,0,53,1,1,0,0,1,0
Fall,MALE,13,3.23,104,-0.138,Tue,Introductory,2021,0,11,1,1,0,0,1,0
Fall,MALE,13,1.5,78,-0.201,Tue,Graduate,2018,0,36,0,1,0,0,0,1
Fall,MALE,14,2.818,144,-0.59,Tue,Introductory,2020,0,149,1,1,0,0,0,1
Fall,MALE,5,0,193,-2.054,Wed,Introductory,2018,0,24,0,1,0,0,0,0
Fall,MALE,25,4,126,0.033,Wed,Introductory,2021,0,25,1,1,0,0,0,0
Fall,MALE,14,1.785,107,-0.922,Wed,Introductory,2021,0,10,1,1,0,0,0,0
Fall,FEMALE,22,3.5,122,-0.28,Wed,Introductory,2021,0,11,1,1,0,0,0,0
Fall,MALE,21,3.833,137,0.046,Wed,Introductory,2021,0,3,1,1,0,0,0,0
Fall,FEMALE,18,4,126,0.097,Wed,Introductory,2021,0,1,1,1,0,0,1,0
Fall,FEMALE,12,3.25,134,-0.221,Wed,Introductory,2021,0,13,1,1,0,0,1,0
Fall,MALE,16,3.5,86,0.756,Wed,Introductory,2021,0,80,1,0,0,0,1,0
Fall,MALE,15,2.933,146,-0.082,Wed,Introductory,2019,0,93,1,1,0,0,1,0
Fall,FEMALE,12,3.5,122,0.248,Wed,Introductory,2020,0,8,1,0,0,0,1,0
Fall,MALE,3,4,138,0.114,Wed,Introductory,2021,0,23,1,0,0,0,1,0
Fall,MALE,12,2,108,-0.888,Wed,Introductory,2021,0,37,1,1,0,0,1,0
Fall,MALE,16,3,121,0.22,Wed,Introductory,2021,0,31,1,1,0,0,1,0
Fall,FEMALE,17,4,124,0,Wed,Introductory,2021,0,6,1,1,0,0,1,0
Fall,FEMALE,14,3.071,128,-0.162,Wed,Introductory,2021,0,5,1,0,0,0,1,0
Fall,MALE,13,1.5,78,-0.201,Wed,Graduate,2018,0,36,0,1,0,0,1,0
Fall,MALE,14,2.818,144,-0.59,Wed,Introductory,2020,0,149,1,1,0,0,1,0
