Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,106,MALE,12,2.25,136,-0.47,Tue,Introductory,2020,0,44,1,1,0,0,0,0
Fall,45,MALE,16,2.312,131,-0.25,Tue,Intermediate,2020,0,12,1,0,1,0,0,0
Fall,96,MALE,17,3,148,0.188,Tue,Introductory,2018,0,47,0,1,0,0,1,0
Fall,68,FEMALE,21,3.562,150,-0.071,Tue,Introductory,2021,0,6,1,1,0,0,1,0
Fall,89,MALE,15,3,119,-0.105,Thu,Graduate,2020,0,22,1,1,0,0,0,0
Fall,208,FEMALE,16,3.062,128,-0.139,Thu,Introductory,2020,0,27,1,1,0,0,0,1
Fall,124,MALE,17,3.357,130,-0.349,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,123,MALE,15,2.666,105,0.474,Thu,Introductory,2021,0,2,1,1,0,0,0,1
Fall,136,FEMALE,12,3.166,125,0.219,Thu,Introductory,2018,0,18,0,1,0,0,0,1
Fall,54,FEMALE,19,4,122,0.172,Thu,Introductory,2018,0,8,0,1,0,0,0,1
Fall,146,MALE,16,4,134,0.5,Thu,Graduate,2020,0,20,1,1,0,0,0,1
Fall,97,MALE,16,2.461,122,-0.396,Thu,Introductory,2020,0,1,1,1,0,0,0,1
Fall,56,MALE,13,2.307,126,-0.624,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,41,MALE,16,3.076,63,0.112,Thu,Introductory,2017,0,25,0,1,0,0,0,1
Fall,60,MALE,17,3.357,130,-0.349,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,61,MALE,18,1.933,124,-0.279,Thu,Introductory,2020,0,1,1,1,0,0,0,1
Fall,55,MALE,15,2.666,105,0.474,Thu,Introductory,2021,0,2,1,1,0,0,0,1
Fall,49,MALE,19,2.111,111,-0.529,Thu,Introductory,2021,0,8,1,1,0,0,0,1
Fall,49,FEMALE,18,2.285,139,0.266,Thu,Introductory,2019,0,15,1,1,0,0,0,1
Fall,47,MALE,11,3,178,-0.121,Sun,Introductory,2021,0,8,1,1,0,0,0,1
Fall,54,MALE,13,3.769,128,0.181,Mon,Introductory,2020,0,64,1,1,0,0,1,0
Fall,46,FEMALE,16,4,123,0.351,Mon,Introductory,2019,0,4,1,0,0,0,1,0
Fall,131,FEMALE,19,4,128,0.488,Mon,Introductory,2020,0,4,1,0,0,0,1,0
Fall,131,MALE,19,4,134,0.394,Mon,Introductory,2020,0,2,1,0,0,0,1,0
Fall,288,MALE,12,3,69,0.32,Mon,Introductory,2019,0,8,1,1,0,0,1,0
Fall,28,FEMALE,14,1.727,134,-1.609,Mon,Introductory,2020,0,8,1,0,0,0,1,0
Fall,28,FEMALE,13,2.692,73,-0.208,Mon,Introductory,2021,0,1,1,0,0,0,1,0
Fall,28,FEMALE,16,3.812,123,0.212,Mon,Introductory,2019,0,2,1,0,0,0,1,0
Fall,154,FEMALE,15,4,135,0.286,Mon,Introductory,2019,0,1,1,0,0,0,1,0
Fall,88,FEMALE,18,3.8,132,0.523,Mon,Introductory,2019,0,1,1,0,0,0,1,0
Fall,105,FEMALE,13,3.23,129,-0.185,Mon,Introductory,2020,0,5,1,0,0,0,1,0
Fall,62,FEMALE,17,2.181,122,-0.844,Mon,Introductory,2020,0,2,1,0,0,0,1,0
Fall,107,FEMALE,16,3.375,135,-0.094,Mon,Introductory,2020,0,2,1,0,0,0,1,0
Fall,104,FEMALE,16,4,126,0.138,Mon,Introductory,2020,0,1,1,0,0,0,1,0
Fall,120,MALE,15,2.25,137,-0.472,Mon,Advanced,2018,0,29,0,0,0,0,1,0
Fall,66,FEMALE,6,0,12,-3,Mon,Intermediate,2020,0,21,1,0,0,0,1,0
Fall,120,FEMALE,15,3.8,148.27,0.04,Tue,Advanced,2018,0,7,0,0,0,0,0,0
Fall,95,FEMALE,15,3.133,146,-0.314,Tue,Introductory,2018,0,2,0,0,0,0,1,0
Fall,109,FEMALE,16,3.625,72,0.07,Tue,Introductory,2018,1,7,0,0,0,0,1,0
Fall,67,FEMALE,13,2.692,49,-0.244,Tue,Introductory,2018,1,1,1,0,0,0,1,0
Fall,90,MALE,10,2.5,123,-0.405,Tue,Intermediate,2018,0,6,0,0,0,0,1,0
Fall,78,MALE,19,3.062,122,0.195,Tue,Intermediate,2018,0,5,0,0,0,0,1,0
Fall,90,MALE,15,2.5,122,-0.538,Tue,Intermediate,2018,0,1,0,0,0,0,1,0
Fall,22,FEMALE,17,3.571,147,-0.061,Tue,Introductory,2021,0,6,1,1,0,0,1,0
Fall,95,MALE,16,3.812,9,-0.188,Tue,Intermediate,2021,0,5,1,0,0,0,1,0
Fall,93,FEMALE,15,3.8,123,-0.066,Tue,Introductory,2018,0,52,0,1,0,0,1,0
Fall,94,FEMALE,14,2.875,62,-0.525,Tue,Introductory,2017,1,7,0,1,0,0,1,0
Fall,22,FEMALE,16,2.187,123,-0.576,Tue,Intermediate,2019,0,3,1,0,0,0,1,0
Fall,15,MALE,15,3,167,-0.085,Tue,Introductory,2020,0,5,1,1,0,0,1,0
Fall,10,FEMALE,6,0,12,-3,Tue,Advanced,2020,0,21,1,0,0,0,1,0
Fall,73,FEMALE,13,3.23,35,0.162,Tue,Introductory,2017,1,10,0,1,0,0,1,0
Fall,33,FEMALE,15,1.818,148,-1.053,Tue,Intermediate,2018,0,4,0,0,0,0,1,0
Fall,37,MALE,15,2.25,137,-0.472,Tue,Advanced,2018,0,29,0,0,0,0,1,0
Fall,38,MALE,14,3.142,122,-0.049,Tue,Introductory,2018,0,1,0,1,0,0,1,0
Fall,39,MALE,23,3.187,127,0.253,Tue,Introductory,2018,0,1,0,1,0,0,1,0
Fall,97,MALE,16,3.307,125,0.094,Tue,Introductory,2018,0,31,0,1,0,0,1,0
Fall,129,MALE,16,3.076,123,-0.041,Tue,Introductory,2020,0,33,1,1,0,0,1,0
Fall,61,MALE,18,4,169,0.024,Tue,Advanced,2017,0,7,0,0,0,0,1,0
Fall,129,FEMALE,12,1,79,-1.535,Tue,Intermediate,2018,0,9,1,0,0,0,1,0
Fall,38,FEMALE,13,1.714,65,-0.619,Tue,Intermediate,2018,1,2,0,0,0,0,1,0
Fall,55,FEMALE,14,1.727,134,-1.609,Tue,Introductory,2020,0,8,1,0,0,0,0,1
Fall,21,MALE,14,3.5,30,-0.23,Tue,Introductory,2017,1,2,0,1,0,0,0,1
Fall,119,MALE,12,3.75,148,0.365,Tue,Introductory,2018,0,8,1,0,0,0,0,1
Fall,95,FEMALE,17,3.294,134,0.08,Tue,Introductory,2018,0,22,0,1,0,0,0,1
Fall,11,FEMALE,22,3.578,143,0.167,Tue,Introductory,2020,0,18,1,0,0,0,0,1
Fall,24,FEMALE,16,4,123,0.351,Tue,Introductory,2019,0,4,1,0,0,0,0,1
Fall,61,FEMALE,15,3.5,126,-0.5,Tue,Introductory,2021,0,1,1,0,0,0,0,1
Fall,61,FEMALE,16,3.09,157,-0.144,Tue,Introductory,2021,0,1,1,0,0,0,0,1
Fall,60,FEMALE,20,3.526,36,-0.11,Tue,Introductory,2017,1,2,0,0,0,0,0,1
Fall,65,MALE,16,2.687,138,-0.335,Tue,Introductory,2018,0,61,0,1,0,0,0,1
Fall,137,FEMALE,14,2.571,95,0.622,Tue,Introductory,2020,0,7,1,1,0,0,0,1
Fall,130,FEMALE,13,2.1,126,-0.722,Tue,Introductory,2019,0,9,1,1,0,0,0,1
Fall,93,FEMALE,20,3.647,82,-0.033,Tue,Introductory,2017,0,11,0,1,0,0,0,1
Fall,119,FEMALE,15,2.466,123,-0.418,Tue,Introductory,2020,0,14,1,0,0,0,0,1
Fall,123,FEMALE,16,3.625,72,0.07,Tue,Introductory,2018,1,7,0,0,0,0,0,1
Fall,21,MALE,16,3.687,123,-0.04,Tue,Introductory,2021,0,14,1,1,0,0,0,1
Fall,84,MALE,12,3.333,203,-0.403,Tue,Introductory,2017,0,30,0,0,0,0,0,1
Fall,159,FEMALE,19,3.071,142,-0.225,Tue,Introductory,2020,0,2,1,1,0,0,0,1
Fall,74,MALE,12,2.666,133,0.03,Tue,Introductory,2018,0,16,0,1,0,0,0,1
Fall,45,MALE,16,2.714,132,0.033,Tue,Introductory,2019,0,44,1,1,0,0,0,1
Fall,44,FEMALE,15,2,82,-0.328,Tue,Introductory,2017,0,17,0,1,0,0,0,1
Fall,76,FEMALE,18,3.187,141,-0.037,Tue,Intermediate,2020,0,28,1,1,0,0,0,1
Fall,26,MALE,18,3.333,122,0.045,Tue,Introductory,2019,0,4,1,1,0,0,0,1
Fall,27,FEMALE,16,3.062,128,-0.139,Tue,Introductory,2020,0,27,1,1,0,0,0,1
Fall,107,FEMALE,15,4,76,0,Tue,Introductory,2017,0,4,0,1,0,0,0,1
Fall,94,FEMALE,15,2.6,150,-0.42,Tue,Introductory,2018,0,12,0,0,0,0,0,1
Fall,53,MALE,12,2.75,154,0.205,Tue,Introductory,2020,0,3,1,1,0,0,0,1
Fall,44,MALE,15,3,139,0.308,Tue,Introductory,2020,0,10,1,1,0,0,0,1
Fall,19,FEMALE,13,4,129,0,Tue,Introductory,2019,0,5,1,1,0,0,0,1
Fall,32,MALE,16,3.538,129,-0.038,Wed,Introductory,2020,0,27,1,1,0,0,0,0
Fall,99,MALE,12,3,133,-0.266,Wed,Introductory,2019,0,16,1,1,0,0,0,0
