Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,MALE,12,2.25,136,-0.47,1,Tue,Introductory,2020,0,44,1,1,0,0,0,0
Fall,MALE,16,2.312,131,-0.25,2,Tue,Intermediate,2020,0,12,1,0,1,0,0,0
Fall,MALE,17,3,148,0.188,1,Tue,Introductory,2018,0,47,0,1,0,0,1,0
Fall,FEMALE,21,3.562,150,-0.071,2,Tue,Introductory,2021,0,6,1,1,0,0,1,0
Fall,MALE,15,3,119,-0.105,1,Thu,Graduate,2020,0,22,1,1,0,0,0,0
Fall,FEMALE,16,3.062,128,-0.139,1,Thu,Introductory,2020,0,27,1,1,0,0,0,1
Fall,MALE,17,3.357,130,-0.349,2,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,MALE,15,2.666,105,0.474,3,Thu,Introductory,2021,0,2,1,1,0,0,0,1
Fall,FEMALE,12,3.166,125,0.219,4,Thu,Introductory,2018,0,18,0,1,0,0,0,1
Fall,FEMALE,19,4,122,0.172,5,Thu,Introductory,2018,0,8,0,1,0,0,0,1
Fall,MALE,16,4,134,0.5,5,Thu,Graduate,2020,0,20,1,1,0,0,0,1
Fall,MALE,16,2.461,122,-0.396,6,Thu,Introductory,2020,0,1,1,1,0,0,0,1
Fall,MALE,13,2.307,126,-0.624,7,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,MALE,16,3.076,63,0.112,5,Thu,Introductory,2017,0,25,0,1,0,0,0,1
Fall,MALE,17,3.357,130,-0.349,6,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,MALE,18,1.933,124,-0.279,7,Thu,Introductory,2020,0,1,1,1,0,0,0,1
Fall,MALE,15,2.666,105,0.474,8,Thu,Introductory,2021,0,2,1,1,0,0,0,1
Fall,MALE,19,2.111,111,-0.529,8,Thu,Introductory,2021,0,8,1,1,0,0,0,1
Fall,FEMALE,18,2.285,139,0.266,9,Thu,Introductory,2019,0,15,1,1,0,0,0,1
Fall,MALE,11,3,178,-0.121,1,Sun,Introductory,2021,0,8,1,1,0,0,0,1
Fall,MALE,13,3.769,128,0.181,1,Mon,Introductory,2020,0,64,1,1,0,0,1,0
Fall,FEMALE,16,4,123,0.351,2,Mon,Introductory,2019,0,4,1,0,0,0,1,0
Fall,FEMALE,19,4,128,0.488,3,Mon,Introductory,2020,0,4,1,0,0,0,1,0
Fall,MALE,19,4,134,0.394,4,Mon,Introductory,2020,0,2,1,0,0,0,1,0
Fall,MALE,12,3,69,0.32,5,Mon,Introductory,2019,0,8,1,1,0,0,1,0
Fall,FEMALE,14,1.727,134,-1.609,5,Mon,Introductory,2020,0,8,1,0,0,0,1,0
Fall,FEMALE,13,2.692,73,-0.208,6,Mon,Introductory,2021,0,1,1,0,0,0,1,0
Fall,FEMALE,16,3.812,123,0.212,7,Mon,Introductory,2019,0,2,1,0,0,0,1,0
Fall,FEMALE,15,4,135,0.286,8,Mon,Introductory,2019,0,1,1,0,0,0,1,0
Fall,FEMALE,18,3.8,132,0.523,9,Mon,Introductory,2019,0,1,1,0,0,0,1,0
Fall,FEMALE,13,3.23,129,-0.185,10,Mon,Introductory,2020,0,5,1,0,0,0,1,0
Fall,FEMALE,17,2.181,122,-0.844,11,Mon,Introductory,2020,0,2,1,0,0,0,1,0
Fall,FEMALE,16,3.375,135,-0.094,11,Mon,Introductory,2020,0,2,1,0,0,0,1,0
Fall,FEMALE,16,4,126,0.138,9,Mon,Introductory,2020,0,1,1,0,0,0,1,0
Fall,MALE,15,2.25,137,-0.472,10,Mon,Advanced,2018,0,29,0,0,0,0,1,0
Fall,FEMALE,6,0,12,-3,6,Mon,Intermediate,2020,0,21,1,0,0,0,1,0
Fall,FEMALE,15,3.8,148.27,0.04,1,Tue,Advanced,2018,0,7,0,0,0,0,0,0
Fall,FEMALE,15,3.133,146,-0.314,2,Tue,Introductory,2018,0,2,0,0,0,0,1,0
Fall,FEMALE,16,3.625,72,0.07,3,Tue,Introductory,2018,1,7,0,0,0,0,1,0
Fall,FEMALE,13,2.692,49,-0.244,4,Tue,Introductory,2018,1,1,1,0,0,0,1,0
Fall,MALE,10,2.5,123,-0.405,3,Tue,Intermediate,2018,0,6,0,0,0,0,1,0
Fall,MALE,19,3.062,122,0.195,4,Tue,Intermediate,2018,0,5,0,0,0,0,1,0
Fall,MALE,15,2.5,122,-0.538,5,Tue,Intermediate,2018,0,1,0,0,0,0,1,0
Fall,FEMALE,17,3.571,147,-0.061,6,Tue,Introductory,2021,0,6,1,1,0,0,1,0
Fall,MALE,16,3.812,9,-0.188,6,Tue,Intermediate,2021,0,5,1,0,0,0,1,0
Fall,FEMALE,15,3.8,123,-0.066,7,Tue,Introductory,2018,0,52,0,1,0,0,1,0
Fall,FEMALE,14,2.875,62,-0.525,8,Tue,Introductory,2017,1,7,0,1,0,0,1,0
Fall,FEMALE,16,2.187,123,-0.576,9,Tue,Intermediate,2019,0,3,1,0,0,0,1,0
Fall,MALE,15,3,167,-0.085,8,Tue,Introductory,2020,0,5,1,1,0,0,1,0
Fall,FEMALE,6,0,12,-3,6,Tue,Advanced,2020,0,21,1,0,0,0,1,0
Fall,FEMALE,13,3.23,35,0.162,5,Tue,Introductory,2017,1,10,0,1,0,0,1,0
Fall,FEMALE,15,1.818,148,-1.053,5,Tue,Intermediate,2018,0,4,0,0,0,0,1,0
Fall,MALE,15,2.25,137,-0.472,6,Tue,Advanced,2018,0,29,0,0,0,0,1,0
Fall,MALE,14,3.142,122,-0.049,7,Tue,Introductory,2018,0,1,0,1,0,0,1,0
Fall,MALE,23,3.187,127,0.253,8,Tue,Introductory,2018,0,1,0,1,0,0,1,0
Fall,MALE,16,3.307,125,0.094,6,Tue,Introductory,2018,0,31,0,1,0,0,1,0
Fall,MALE,16,3.076,123,-0.041,6,Tue,Introductory,2020,0,33,1,1,0,0,1,0
Fall,MALE,18,4,169,0.024,7,Tue,Advanced,2017,0,7,0,0,0,0,1,0
Fall,FEMALE,12,1,79,-1.535,5,Tue,Intermediate,2018,0,9,1,0,0,0,1,0
Fall,FEMALE,13,1.714,65,-0.619,6,Tue,Intermediate,2018,1,2,0,0,0,0,1,0
Fall,FEMALE,14,1.727,134,-1.609,5,Tue,Introductory,2020,0,8,1,0,0,0,0,1
Fall,MALE,14,3.5,30,-0.23,5,Tue,Introductory,2017,1,2,0,1,0,0,0,1
Fall,MALE,12,3.75,148,0.365,6,Tue,Introductory,2018,0,8,1,0,0,0,0,1
Fall,FEMALE,17,3.294,134,0.08,7,Tue,Introductory,2018,0,22,0,1,0,0,0,1
Fall,FEMALE,22,3.578,143,0.167,8,Tue,Introductory,2020,0,18,1,0,0,0,0,1
