datetime,hourly_cloudcover,hourly_temperature_2m,hourly_windspeed_10m,hourly_precipitation,hourly_rain,hourly_snowfall
2016-08-23T04:00:00Z,0,60.9,7.3,0,0,0
2016-08-23T05:00:00Z,0,60.3,7.2,0,0,0
2016-08-23T06:00:00Z,0,59.6,6.9,0,0,0
2016-08-23T07:00:00Z,0,59,7.3,0,0,0
2016-08-23T08:00:00Z,0,58.5,7.3,0,0,0
2016-08-23T09:00:00Z,1,58.1,6.3,0,0,0
2016-08-23T10:00:00Z,10,57.8,6.8,0,0,0
2016-08-23T11:00:00Z,7,59.8,8.9,0,0,0
2016-08-23T12:00:00Z,14,65.4,8.2,0,0,0
2016-08-23T13:00:00Z,14,70.2,9.4,0,0,0
2016-08-23T14:00:00Z,18,74.1,11.7,0,0,0
2016-08-23T15:00:00Z,68,76.3,13.4,0,0,0
2016-08-23T16:00:00Z,90,77.8,12.9,0,0,0
2016-08-23T17:00:00Z,78,79,12.7,0,0,0
2016-08-23T18:00:00Z,54,79.5,12.7,0,0,0
2016-08-23T19:00:00Z,75,79.9,12.6,0,0,0
2016-08-23T20:00:00Z,30,80.5,12.1,0,0,0
2016-08-23T21:00:00Z,40,80.2,10.7,0,0,0
2016-08-23T22:00:00Z,40,79,9.4,0,0,0
2016-08-23T23:00:00Z,35,76,6.9,0,0,0
2016-08-24T00:00:00Z,7,72.5,8.1,0,0,0
2016-08-24T01:00:00Z,3,70.4,8.4,0,0,0
2016-08-24T02:00:00Z,18,68.9,10.8,0,0,0
2016-08-24T03:00:00Z,51,68.2,11.6,0,0,0
2016-08-24T04:00:00Z,78,67.8,12.5,0,0,0
2016-08-24T05:00:00Z,80,67.3,12.8,0,0,0
2016-08-24T06:00:00Z,98,66.2,12.7,0,0,0
2016-08-24T07:00:00Z,98,65.9,11.2,0,0,0
2016-08-24T08:00:00Z,92,65.5,10.9,0,0,0
2016-08-24T09:00:00Z,76,64.9,9.7,0,0,0
2016-08-24T10:00:00Z,71,64.6,11.7,0,0,0
2016-08-24T11:00:00Z,27,66.1,14.3,0,0,0
2016-08-24T12:00:00Z,43,69.2,15.4,0,0,0
2016-08-24T13:00:00Z,35,73.3,18.5,0,0,0
2016-08-24T14:00:00Z,84,76.2,19.9,0,0,0
2016-08-24T15:00:00Z,99,79,22.1,0,0,0
2016-08-24T16:00:00Z,100,80.7,26.4,0,0,0
2016-08-24T17:00:00Z,100,82,24.6,0,0,0
2016-08-24T18:00:00Z,100,82.8,24,0.3,0.3,0
2016-08-24T19:00:00Z,100,82.6,22.9,0.3,0.3,0
2016-08-24T20:00:00Z,100,81.7,22.2,0.2,0.2,0
2016-08-24T21:00:00Z,100,80,18.1,0,0,0
2016-08-24T22:00:00Z,97,78.1,13.8,0.8,0.8,0
2016-08-24T23:00:00Z,100,76.1,13,1.6,1.6,0
2016-08-25T00:00:00Z,100,75.1,14.5,2.5,2.5,0
2016-08-25T01:00:00Z,100,73.9,18.6,0.7,0.7,0
2016-08-25T02:00:00Z,100,73.6,21,0.3,0.3,0
2016-08-25T03:00:00Z,99,73.5,17.2,0.2,0.2,0
2016-08-25T04:00:00Z,99,73.4,15.1,0.1,0.1,0
2016-08-25T05:00:00Z,100,73.5,15.1,0,0,0
2016-08-25T06:00:00Z,98,72.7,15.6,0,0,0
2016-08-25T07:00:00Z,91,72.2,15.9,0,0,0
2016-08-25T08:00:00Z,71,71.8,15.9,0,0,0
2016-08-25T09:00:00Z,80,71.5,8.3,0,0,0
2016-08-25T10:00:00Z,95,71.5,8.8,0,0,0
2016-08-25T11:00:00Z,99,72.4,10.2,0,0,0
2016-08-25T12:00:00Z,99,74.6,15.1,0,0,0
2016-08-25T13:00:00Z,100,76.3,17.2,0,0,0
2016-08-25T14:00:00Z,58,77.8,15.2,0,0,0
2016-08-25T15:00:00Z,42,78.8,17.6,0,0,0
2016-08-25T16:00:00Z,20,79.4,19.7,0.1,0.1,0
2016-08-25T17:00:00Z,49,80.3,21.7,0.1,0.1,0
2016-08-25T18:00:00Z,58,80.8,23.7,1.3,1.3,0
2016-08-25T19:00:00Z,43,82,21.7,0,0,0
2016-08-25T20:00:00Z,55,83.5,19.4,0,0,0
2016-08-25T21:00:00Z,60,83.2,19.1,0,0,0
2016-08-25T22:00:00Z,32,81.4,15.6,0,0,0
2016-08-25T23:00:00Z,24,79.6,13.7,0,0,0
2016-08-26T00:00:00Z,7,77.4,11.6,0,0,0
2016-08-26T01:00:00Z,6,75.9,9.7,0,0,0
2016-08-26T02:00:00Z,10,74.5,9.6,0,0,0
2016-08-26T03:00:00Z,27,73,8.9,0,0,0
2016-08-26T04:00:00Z,74,71.9,7.4,0,0,0
2016-08-26T05:00:00Z,99,71,6.3,0,0,0
2016-08-26T06:00:00Z,96,69.8,5.8,0.1,0.1,0
2016-08-26T07:00:00Z,87,68.9,5.7,0,0,0
2016-08-26T08:00:00Z,78,68,5.4,0,0,0
2016-08-26T09:00:00Z,30,66.7,7.6,0,0,0
2016-08-26T10:00:00Z,54,65.8,6.5,0,0,0
2016-08-26T11:00:00Z,25,66.4,6.5,0,0,0
2016-08-26T12:00:00Z,84,70.5,4.6,0,0,0
2016-08-26T13:00:00Z,99,73.7,4.2,0,0,0
2016-08-26T14:00:00Z,100,76.5,4.6,0,0,0
2016-08-26T15:00:00Z,94,78.5,3.8,0,0,0
2016-08-26T16:00:00Z,32,80.2,2.2,0,0,0
2016-08-26T17:00:00Z,0,81.7,1.6,0,0,0
2016-08-26T18:00:00Z,25,82.1,1.5,0,0,0
2016-08-26T19:00:00Z,63,82.8,1.9,0,0,0
2016-08-26T20:00:00Z,90,83.2,2.8,0,0,0
2016-08-26T21:00:00Z,90,83,4.9,0,0,0
2016-08-26T22:00:00Z,95,82.2,5.4,0,0,0
2016-08-26T23:00:00Z,93,79.9,5.9,0,0,0
2016-08-27T00:00:00Z,100,76.7,6.3,0,0,0
2016-08-27T01:00:00Z,99,74.5,7.6,0,0,0
2016-08-27T02:00:00Z,100,73.1,8.7,0,0,0
2016-08-27T03:00:00Z,100,72,8.8,0,0,0
2016-08-27T04:00:00Z,99,71.2,8.8,0,0,0
2016-08-27T05:00:00Z,89,71.1,7.6,0,0,0
2016-08-27T06:00:00Z,87,70.8,7.4,0,0,0
2016-08-27T07:00:00Z,98,70.6,8.8,0,0,0
2016-08-27T08:00:00Z,99,70.2,9.3,0,0,0
2016-08-27T09:00:00Z,98,70,8.5,0,0,0
2016-08-27T10:00:00Z,100,69.8,9.8,0,0,0
2016-08-27T11:00:00Z,98,70.5,11.3,0,0,0
2016-08-27T12:00:00Z,90,73.1,11.3,0,0,0
2016-08-27T13:00:00Z,100,77,11.5,0,0,0
2016-08-27T14:00:00Z,100,80.6,13.6,0,0,0
2016-08-27T15:00:00Z,100,83.1,13.4,0,0,0
2016-08-27T16:00:00Z,100,84.7,14.6,0.1,0.1,0
2016-08-27T17:00:00Z,100,84.6,17.1,0.3,0.3,0
2016-08-27T18:00:00Z,99,78.5,12,0.5,0.5,0
2016-08-27T19:00:00Z,97,80,12.6,0.2,0.2,0
2016-08-27T20:00:00Z,91,81.6,11.9,0,0,0
