Student_IDs,Semester,Degree_Type,Class_Standing,Major,Expected_Graduation,Course_Name,Course_Number,Course_Type,Course_Code_by_Thousands,Semester_Week,Check_In_Date,Check_In_Time,Check_Out_Time,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Day_of_Week,Is_Weekend,Week_of_Month,Month,Hour_of_Day,Time_Period,Course_Level,GPA_Category,Session_Length_Category,Credit_Load_Category,Class_Standing_Self_Reported,Class_Standing_BGSU,Occupancy,Previous_Duration,Avg_Past_Duration,Days_Since_Last_Visit,Unique_Courses,Course_Level_Mix,Advanced_Course_Ratio,Degree_Progress,GPA_Trend,Semesters_To_Graduation,Visit_Time_Variance,Most_Common_Time_Period,Weekly_Visit_Frequency
BGSU00002,Spring 2017,Graduate,Graduate,BIOL-MS:Biological Sciences,Spring Semester 2021,General Genetics,BIOL-3500,BIOL,3000,3,2017-01-26,18:07:00,19:12:00,65.0,FEMALE,13,3.615,38.0,3.739,-0.124,Thu,False,4.0,Jan,18,Evening,Other,Excellent,Medium,Full Time,Graduate,Sophomore,5,,,,1,1,0.0,31.666666666666664,-1.0,48,,Evening,1
BGSU00006,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,2,2016-08-31,09:32:00,10:59:00,87.0,FEMALE,6,2.5,105.0,3.265,-0.765,Wed,False,5.0,Aug,9,Morning,Other,Good,Medium,Part Time,Fourth Year,Senior,3,,,,1,1,0.0,87.5,-1.0,13,1.9999999999999998,Morning,2
BGSU00006,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,2,2016-09-02,09:31:00,10:37:00,66.0,FEMALE,6,2.5,105.0,3.265,-0.765,Fri,False,1.0,Sep,9,Morning,Other,Good,Medium,Part Time,Fourth Year,Senior,3,87.0,87.0,2.0,1,1,0.0,87.5,-1.0,12,1.9999999999999998,Morning,2
BGSU00006,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,4,2016-09-13,13:21:00,15:32:00,131.0,FEMALE,6,2.5,105.0,3.265,-0.765,Tue,False,2.0,Sep,13,Afternoon,Other,Good,Long,Part Time,Fourth Year,Senior,5,66.0,76.5,11.0,1,1,0.0,87.5,-1.0,12,1.9999999999999998,Morning,1
BGSU00006,Spring 2017,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,10,2017-03-17,13:24:00,14:12:00,48.0,FEMALE,6,2.5,105.0,3.265,-0.765,Fri,False,3.0,Mar,13,Afternoon,Other,Good,Medium,Part Time,Fourth Year,Senior,4,131.0,94.66666666666667,185.0,1,1,0.0,87.5,-1.0,6,1.9999999999999998,Morning,1
BGSU00006,Spring 2017,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,12,2017-03-31,11:42:00,15:36:00,234.0,FEMALE,6,2.5,105.0,3.265,-0.765,Fri,False,5.0,Mar,11,Morning,Other,Good,Extended,Part Time,Fourth Year,Senior,3,48.0,83.0,14.0,1,1,0.0,87.5,-1.0,6,1.9999999999999998,Morning,1
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,2016-09-07,13:31:00,15:23:00,112.0,MALE,7,3.0,155.0,2.18,0.82,Wed,False,1.0,Sep,13,Afternoon,Other,Satisfactory,Long,Half Time,Fourth Year,Extended,12,,,,1,1,0.0,100.0,1.0,48,3.165151152501539,Afternoon,6
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,2016-09-07,18:24:00,20:17:00,113.0,MALE,7,3.0,155.0,2.18,0.82,Wed,False,1.0,Sep,18,Evening,Other,Satisfactory,Long,Half Time,Fourth Year,Extended,17,112.0,112.0,0.0,1,1,0.0,100.0,1.0,48,3.165151152501539,Afternoon,6
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,2016-09-08,10:35:00,12:26:00,111.0,MALE,7,3.0,155.0,2.18,0.82,Thu,False,2.0,Sep,10,Morning,Other,Satisfactory,Long,Half Time,Fourth Year,Extended,8,113.0,112.5,1.0,1,1,0.0,100.0,1.0,48,3.165151152501539,Afternoon,6
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,2016-09-08,17:19:00,19:01:00,102.0,MALE,7,3.0,155.0,2.18,0.82,Thu,False,2.0,Sep,17,Afternoon,Other,Satisfactory,Long,Half Time,Fourth Year,Extended,15,111.0,112.0,0.0,1,1,0.0,100.0,1.0,48,3.165151152501539,Afternoon,6
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,2016-09-08,19:38:00,21:05:00,87.0,MALE,7,3.0,155.0,2.18,0.82,Thu,False,2.0,Sep,19,Evening,Other,Satisfactory,Medium,Half Time,Fourth Year,Extended,9,102.0,109.5,0.0,1,1,0.0,100.0,1.0,48,3.165151152501539,Afternoon,6
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,4,2016-09-12,12:21:00,12:39:00,18.0,MALE,7,3.0,155.0,2.18,0.82,Mon,False,2.0,Sep,12,Morning,Other,Satisfactory,Short,Half Time,Fourth Year,Extended,11,87.0,105.0,4.0,1,1,0.0,100.0,1.0,48,3.165151152501539,Afternoon,1
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,7,2016-10-07,11:48:00,13:01:00,73.0,MALE,7,3.0,155.0,2.18,0.82,Fri,False,1.0,Oct,11,Morning,Other,Satisfactory,Medium,Half Time,Fourth Year,Extended,4,18.0,90.5,25.0,1,1,0.0,100.0,1.0,47,3.165151152501539,Afternoon,1
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,15,2016-12-01,13:24:00,17:02:00,218.0,MALE,7,3.0,155.0,2.18,0.82,Thu,False,1.0,Dec,13,Afternoon,Other,Satisfactory,Extended,Half Time,Fourth Year,Extended,16,73.0,88.0,55.0,1,1,0.0,100.0,1.0,45,3.165151152501539,Afternoon,1
